,text,date
0,"Stocks to Watch Wednesday: BAT, Nvidia, Apple, Plug Power.	[**British American Tobacco (UK: BATS)**](https://www.wsj.com/market-data/quotes/uk/xlon/BATS), [**(BTI)**](https://www.wsj.com/market-data/quotes/BTI): The cigarette manufacturer’s U.S.-listed shares fell 9% after BAT [said it expected to take a $31.",2023-12-06
1,Dow Jones Rises On Weak Jobs Data; Apple Stock Breaks Out Past Buy Point.	The Dow Jones Industrial Average rose Wednesday on a weak ADP jobs report. Apple stock currently is breaking out past its latest buy point.,2023-12-06
2,"Senator's paranoia opens door for Apple to speak out.	Senator Ron Wyden has made a crazy-sounding claim that governments are spying on people's iPhone push notifications — and Apple says thank you, we weren't allowed to tell anyone.",2023-12-06
3,"iMessage may not be forced open under EU DMA.	In the wake of Apple's announcement that it will support RCS, a new report claims that Apple's iMessage may be granted a permanent reprieve from the EU forcing it to become more interoperable with other messaging clients.",2023-12-06
4,"Apple co-founder Steve Wozniak to receive Serbian passport, president says.	Apple Inc. co-founder Steve Wozniak will be getting a Serbian passport, Serbia’s president announced Wednesday.  The convivial Wozniak, who teamed up with the late Steve Jobs to found Apple in 1976, arrived in Serbia ahead of Dec. 17 parliamentary and local elections, in an apparent boost for President Aleksandar Vučić and his populist right-wing governing party.",2023-12-06
5,"iPhone 18 might get under-screen Face ID.	A publication that draws info from Apple's supply chain is moving the goalposts again and is now saying that Face ID under the screen isn't coming until ""after 2026.""",2023-12-06
6,Dow Jones Futures Rise With Big AI Event On Tap; Apple Breaks Out To $3 Trillion Valuation.	Apple broke out and closed back above a $3 trillion valuation. MongoDB and Toll Brothers led overnight earnings.,2023-12-06
7,"iMessage will reportedly get a reprieve from EU's interoperability regulation.	European Union's Digital Markets Act (DMA) regulation, which will hit tech giants in 2024, will ask large-sized messaging apps to be interoperable with other services. However, Apple's iMessage might not have to comply with this as the EU tentatively deduced that the service is not popular enough with business users, according to a report by Bloomberg. While the final decision is not set in stone, Bloomberg's report cited",2023-12-06
8,Magnificent Seven ETFs: A Review of 2023 & What Lies Ahead.	The Magnificent Seven stocks had a great 2023 and played a key role in pushing the S&P 500 and the Nasdaq higher.,2023-12-06
9,"Better Growth Vehicle: Invesco QQQ Trust or Vanguard Information Technology Index Fund?.	Picking stocks capable of outperforming the broader markets consistently is a tremendously difficult task.  A recent study, for example, showed that only 2.39% of stocks are responsible for literally all of the gains of the global equity markets over the past 30 years.  This unfavorable dynamic is the core reason why super investors like Warren Buffett, George Soros, and Peter Lynch, who have dramatically outperformed",2023-12-06
10,TipRanks’ All-Star Analyst – Who is the Best on AAPL Stock?.	Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.,2023-12-06
11,"Stocks look to end slide, bank CEOs on the Hill: Yahoo Finance Live.	Investors are hoping November's winning ways return to the markets today. After several strong weeks, the Dow (^DJI) and S&P 500 (^GSPC) have hit the brakes the the last few trading days. In Washington, top banking CEOs are set to testify before the Senate Banking Committee today. Expected to testify are the CEOs of Bank of America (BAC), JPMorgan (JPM), Wells Fargo (WFC), Citigroup (C), Goldman Sachs (GS), Morgan Stanley (MS), BNY Mellon",2023-12-06
